Band,Song,Player,Technique,Difficulty,Score
Motorhead,You Better Run Live Bass Intro,Overdrive Effect,['Overdriven Guitar'],Intermediate,3/8
Rage Against The Machine,Bulls On Parade,Tim Commerford (Distortion Effect),['Distortion Guitar'],Beginner,2/8
Gummy,Cheia de reverb,GROOVY,['Overdriven Guitar'],Intermediate,5/8
Withering Remains,ough,Rhythm 2,['Distortion Guitar'],Intermediate,3/8
Metallica,Metalgrock - Orion,,"['Distortion Guitar', 'Kirk (Lead Guitar)']",Intermediate,5/8
Thulio Muniz,Unfamiliar Ceiling,,['Electric Guitar (clean)'],Intermediate,3/8
Motorhead,Ace Of Spades,Disortion Effect,['Distortion Guitar'],Beginner,2/8
Megadeth,Train Of Consequences Intro Rude Awakening,,['Acoustic Guitar (steel)'],Intermediate,3/8
Metallica,Cure ,Jason Newsted,['Acoustic Guitar (steel)'],Beginner,1/8
Liam Arellano (Quixöte),prueba de solo de bajo,Pista 3,['Distortion Guitar'],Intermediate,5/8
Cliff Burton,Cliff Burton 1982 Trauma Solo ,Track 1,['Overdriven Guitar'],Advanced,8/8
Slaver,Creeping liar,,['Distortion Guitar'],Intermediate,4/8
Slaver (Test),Creeping liar,,['Distortion Guitar'],Intermediate,4/8
Slaver,Raise of Empire,,['Distortion Guitar'],Intermediate,3/8
Venom,Witching Hour,,['Overdriven Guitar'],Intermediate,4/8
Mayhem,Witching Hour ,,['Overdriven Guitar'],Intermediate,4/8
Quixöte,Vórtice,Liam A. (Bajo con distorsión),['Distortion Guitar'],Intermediate,3/8
Liam Arellano,Mago,Pista 5,['Distortion Guitar'],Intermediate,3/8
Slaver,Dires Stairs,,['Overdriven Guitar'],Intermediate,3/8
U2,New Years Day V4,Adam Clayton,['Overdriven Guitar'],Intermediate,3/8
Morbid Angel,Nevermore,,['Overdriven Guitar'],Intermediate,3/8
Misfits,Scarecrow Man,,['Distortion Guitar'],Intermediate,3/8
Misfits,From Hell They Came,,['Distortion Guitar'],Intermediate,3/8
Misfits,Dead Kings Rise,Jerry Only ,['Overdriven Guitar'],Intermediate,3/8
Buckethead,Puddles,,['Acoustic Guitar (steel)'],Intermediate,3/8
Misfits,Dr Phibes Rises Again,Jerry Only,['Overdriven Guitar 2'],Intermediate,3/8
Slaver,Azordus,,['Distortion Guitar'],Intermediate,3/8
Weezer,Tired Of Sex,Matt Sharp,['Distortion Guitar'],Intermediate,3/8
Misfits,Crawling Eye,Jerry Only,['Distortion Guitar'],Intermediate,3/8
Kirisute,Settle For Death,Track 6,['Distortion Guitar'],Intermediate,3/8
Misfits,The Haunting,Jerry Only Distortion,['Distortion Guitar'],Intermediate,3/8
Misfits,Speak Of The Devil,Jerry Only,['Distortion Guitar'],Intermediate,3/8
Misfits,Fiend Club,,['Distortion Guitar'],Intermediate,3/8
Misfits,Saturday Night,Jerry Only,['Distortion Guitar'],Intermediate,3/8
Misfits,Lost In Space,Jerry Only,['Overdriven Guitar'],Intermediate,4/8
Misfits,Witch Hunt,Jerry Only,['Distortion Guitar'],Intermediate,3/8
Misfits,The Hunger,Jerry Only,['Overdriven Guitar'],Intermediate,3/8
Misfits,Crimson Ghost,Jerry Only,['Distortion Guitar'],Beginner,2/8
Misfits,Day Of The Dead,,['Distortion Guitar'],Intermediate,3/8
The Misfits,Dr Phibes Rises Again,Jerry Only,['Overdriven Guitar 2'],Intermediate,3/8
Motorhead,We Are The Road Crew,Lemmy Kilmister (Distortion),['Overdriven Guitar'],Beginner,2/8
Slaver,Picnic River Str.,,['Acoustic Guitar (nylon)'],Beginner,2/8
JAD,In Amber Clad,Phiphi,['Overdriven Guitar'],Intermediate,3/8
Led Zeppelin,Friends,,['Acoustic Guitar (steel)'],Intermediate,3/8
Nihil,Lies Within,,"['Overdriven Guitar', 'Guitare disto']",Intermediate,3/8
The Rolling Stones,You Gotta Move,,"['Acoustic Guitar (steel)', 'Open C Slide Guitar']",Beginner,2/8
Slippy,So What,,['Electric Guitar (clean)'],Intermediate,3/8
Tragically Hip,Ahead By A Century,Track 1,['Acoustic Guitar (steel)'],Beginner,2/8
3 Doors Down,Citizen Soldier,Matt (Clean),['Electric Guitar (jazz)'],Intermediate,4/8
Naked Ear,Retzhof,Git. 1,['Acoustic Guitar (nylon)'],Intermediate,4/8
Luka Bloom,First Light Of Spring,Spur 1,['Acoustic Guitar (nylon)'],Intermediate,3/8
Beck,Side Of The Road,,"['Acoustic Guitar (nylon)', 'Guitar 1']",Intermediate,3/8
3 Doors Down,Train,Track 1,['Overdriven Guitar'],Intermediate,3/8
Fozzy,Enemy,Traccia 3,['Distortion Guitar'],Intermediate,3/8
John Butler Trio,Daniella,,['Acoustic Guitar (steel)'],Intermediate,5/8
John Butler Trio,What You Want,,"['Overdriven Guitar', 'john butler ampliefied 11 string guitare']",Beginner,2/8
John Butler Trio,Sista,John Butler,['Acoustic Guitar (steel)'],Beginner,1/8
John Butler Trio,Funky Tonight,Piste 1,['Acoustic Guitar (steel)'],Intermediate,4/8
Speedy Recovery,I Need Your Clothes Shoes And Motorcycle,,"['Distortion Guitar', 'Rhythm guitar']",Intermediate,3/8
Used To Be,X,Johnny 2,['Distortion Guitar'],Intermediate,3/8
Drew,Jaming Session,Track 1,['Distortion Guitar'],Advanced,8/8
I'll Mazdo,As I Lay In The Mazdo Playing Riosk With Hayley Williams,Track 2,['Distortion Guitar'],Intermediate,4/8
The Omeads,Faking The Victim,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
Crack Head Soloers,Holo Cholo,Track 2,['Acoustic Guitar (steel)'],Intermediate,3/8
Crack Head Soloers,How Do You Know Me?!?♫,IAn,['Distortion Guitar'],Intermediate,3/8
Crack Head Soloers,Dodo Bird,Track 1,['Distortion Guitar'],Intermediate,4/8
A Peaceful Resistance,A Piece Of Mind,,"['Distortion Guitar', 'Rythm guitar']",Intermediate,4/8
John Butler Trio,Seeing Angels ,,['Acoustic Guitar (steel) 2'],Intermediate,3/8
John Butler Trio,Ocean Live,,"['Acoustic Guitar (steel)', 'Guitare']",Intermediate,5/8
Dougie Maclean,Ye Banks And Braes,,"['Acoustic Guitar (steel)', 'Steel Guitar']",Beginner,2/8
Amplifier,Strange Seas Of Thoughts,Stopa 1,['Overdriven Guitar'],Intermediate,3/8
Bruce Cockburn,Foxglove,Track 1,['Acoustic Guitar (steel)'],Intermediate,3/8
John Butler Trio,Home Is Where The Heart Is,,"['Acoustic Guitar (steel)', '12 string guuitar']",Intermediate,3/8
John Butler Trio,Pickapart,Acoustic 12,['Acoustic Guitar (steel)'],Intermediate,4/8
John Butler,Ocean,Track 1,['Acoustic Guitar (steel)'],Intermediate,5/8
John Fahey,Requiem For John Hurt,Track 1,['Acoustic Guitar (steel)'],Intermediate,3/8
Laurence Juber,Feet On My Back Again,Traccia 1,['Acoustic Guitar (nylon)'],Intermediate,3/8
Triad,Selir Hati,Track 3,['Acoustic Guitar (steel)'],Intermediate,3/8
Mumford And Sons,Roll Away Your Stone,Marcus,['Acoustic Guitar (steel)'],Beginner,2/8
Javez,Death Metal Song,Track 1,['Distortion Guitar'],Intermediate,3/8
Rik Emmett,Buggy Ride,Rik Emmett,['Acoustic Guitar (nylon)'],Intermediate,5/8
Taylor Swift,Dark Blue Tennessee,,['Acoustic Guitar (steel)'],Intermediate,3/8
The Rock,Selir Hati,Track 5,['Acoustic Guitar (steel)'],Intermediate,3/8
Ewan Dobson,Time 2,Spår 1,['Acoustic Guitar (steel)'],Intermediate,4/8
Whitesnake,Ain't Gonna Cry No More,,"['Acoustic Guitar (steel)', 'Guitarra']",Beginner,2/8
Ewan Dobson,Donkey Kong Expansion Pack,Track 1,['Acoustic Guitar (steel)'],Intermediate,5/8
Ewan Dobson,Time 2.1,Track 1,['Acoustic Guitar (nylon)'],Intermediate,4/8
Kings Of Leon,Use Somebody ,,['Acoustic Guitar (steel)'],Beginner,2/8
Xtremghost,Les Choristes Metal,Piste 4,['Overdriven Guitar'],Intermediate,3/8
Buried Beneath These Corpse,Cancion 2,Pista 1,['Distortion Guitar'],Intermediate,3/8
Buried Beneath These Corpse,Cancion 3,Pista 1,['Distortion Guitar'],Intermediate,3/8
Buried Beneath These Corpse,Cancion 4,Pista 1,['Distortion Guitar'],Intermediate,5/8
Devin Townsend,Terminal,,"['Electric Guitar (jazz)', 'Guitar 2']",Beginner,1/8
Cinema Bizarre,The Silent Place ,Yu,['Overdriven Guitar'],Intermediate,3/8
Van Halen,Stay Frosty,,['Acoustic Guitar (steel)'],Intermediate,3/8
Ewan Dobson,Happy Hardcore,Track 1,['Acoustic Guitar (steel)'],Intermediate,5/8
Ewan Dobson,Blood And Ice,Track 1,['Acoustic Guitar (steel)'],Advanced,6/8
Ewan Dobson,Machinery,Track 1,['Acoustic Guitar (steel)'],Intermediate,4/8
All Black & White,Burning Bridge ,Rodney,['Acoustic Guitar (nylon)'],Intermediate,3/8
Unknown,Plectrus,Track 1,['Acoustic Guitar (steel)'],Intermediate,5/8
Piotr Restecki,Acustic,Utwór 1,['Acoustic Guitar (steel)'],Intermediate,5/8
Mollen,Bidabu,Track 1,['Acoustic Guitar (steel)'],Intermediate,3/8
Dassindamon,Duh,Track 1,['Distortion Guitar'],Intermediate,3/8
Billy The Kid,Chocolate Sexual,Pista 2,['Overdriven Guitar'],Intermediate,3/8
Test,Acoustic Track,Track 2,['Distortion Guitar'],Advanced,6/8
Devin Townsend,Hyperdrive ,,"['Acoustic Guitar (steel)', 'Steel Guitar']",Intermediate,3/8
Devin Townsend,Stagnant Solo,,"['Overdriven Guitar', 'Guitar']",Intermediate,3/8
Devin Townsend Project,Divine,,"['Electric Guitar (muted)', 'Guitar 1']",Beginner,1/8
Devin Townsend,Deamon League,Devin Townsend,['Electric Guitar (clean)'],Intermediate,3/8
Devin Townsend Project,Ki,Devin Townsend,['Acoustic Guitar (steel)'],Intermediate,3/8
Devin Townsend Project,Feather,,"['Acoustic Guitar (steel)', 'Guitar 1']",Beginner,2/8
Devin Townsend,Funeral,,"['Distortion Guitar', 'Guitar 1']",Beginner,1/8
John Butler Trio,Ocean ,,['Acoustic Guitar (steel)'],Intermediate,4/8
Sexist,Balada O Péru,Kytara Tom,['Overdriven Guitar'],Intermediate,3/8
John Butler Trio,Betterman,,['Acoustic Guitar (steel)'],Beginner,2/8
Peter Gergely,Shake It Off,,['Acoustic Guitar (steel)'],Intermediate,4/8
Devin Townsend,Sunday Afternoon,,"['Overdriven Guitar', 'Guitar 1']",Intermediate,3/8
Devin Townsend Project,Universal Flame,The Dev,['Distortion Guitar'],Beginner,2/8
Devin Townsend,Deathray,The Dev,['Distortion Guitar'],Intermediate,3/8
Devin Townsend,War Princess,,"['Distortion Guitar', 'Dist Guitar']",Intermediate,4/8
Hms,Untitled/Unfinished Song,Track 2,['Distortion Guitar'],Advanced,7/8
John Butler Trio,Ocean ,,"['Acoustic Guitar (steel)', '11 string guitar']",Intermediate,5/8
Devin Townsend,Truth,Jed Simon,['Distortion Guitar'],Beginner,2/8
Strapping Young Lad,Polyphony,Jed,['Overdriven Guitar'],Beginner,2/8
Strapping Young Lad,Love,Lead Fills,['Distortion Guitar'],Beginner,2/8
Wilco,I'm The Man Who Loves You,Gtr. 1,['Overdriven Guitar'],Intermediate,3/8
Devin Townsend,Life,,"['Distortion Guitar', 'Devin Townsend (Second Guitar)']",Beginner,2/8
Rob Scallon,A False Closeness,,['Electric Guitar (clean)'],Intermediate,3/8
Hms,Dreams,Track 3,['Distortion Guitar'],Intermediate,4/8
The White Stripes,Seven Nation Army ,,"['Acoustic Guitar (steel)', 'Steel Guitar']",Intermediate,3/8
Jack Johnson,I Got You,Acoustic Gtr (Steel Strings) Open C Tuni,['Acoustic Guitar (steel)'],Beginner,2/8
Devin Townsend,Feather,,"['Acoustic Guitar (steel)', 'Guitar 1']",Beginner,2/8
Devin Townsend,Processional,,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Devin Townsend,Pixillate,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
Devin Townsend,Mental Tan,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
Devin Townsend,Ants,Dev,['Distortion Guitar'],Intermediate,5/8
Devin Townsend,Noisy Pink Bubbles,,"['Acoustic Guitar (steel)', 'Guitar 2']",Intermediate,3/8
Devin Townsend,Ih-Ah,,['Electric Guitar (clean) 1'],Beginner,2/8
Devin Townsend,The Fluke,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
Devin Townsend,Divine,,"['Electric Guitar (muted)', 'Guitar 1']",Intermediate,3/8
Devin Townsend,Synchronicity Freaks,,"['Electric Guitar (muted)', 'Guitar 2']",Beginner,1/8
Devin Townsend,Mountain,,"['Overdriven Guitar', 'Guitar 1']",Intermediate,3/8
Devin Townsend,Tiny Tears,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
Devin Townsend,Sit In The Mountain,Delay and solo,['Distortion Guitar'],Intermediate,3/8
Devin Townsend,Where We Belong,Upper octave,['Acoustic Guitar (steel)'],Beginner,1/8
Elvis Presley,Doncha Think It's Time,Electric Gtr. (Clean Tone  w/Chorus),['Electric Guitar (clean)'],Intermediate,3/8
Devin Townsend,Hyperdrive ,,"['Distortion Guitar', 'Guitar One']",Intermediate,3/8
Cradle Of Filth,Babylon Ad So Glad For The Madness,,['Distortion Guitar 2'],Intermediate,3/8
Matt Mackay,Layers,Track 1,['Acoustic Guitar (steel)'],Intermediate,3/8
Matt,Layers,Track 1,['Acoustic Guitar (steel)'],Intermediate,3/8
Achim Reinders,Tanzken,,"['Acoustic Guitar (nylon)', 'Classical Guitar']",Intermediate,4/8
Bad Company,If You Need Somebody,,"['Acoustic Guitar (steel) 1', 'Acoustic Guitar (Steel) Tuning (CGCGCE)']",Beginner,1/8
Dragonland,The Returning,Pista 4,['Distortion Guitar'],Intermediate,4/8
Creedence Clearwater Revival,Midnight Special,,"['Electric Guitar (clean)', 'Electric Guitar (Clean) 2            ']",Beginner,1/8
Devin Townsend Project,Lady Helen,,"['Electric Guitar (jazz)', 'Lead Guitar']",Intermediate,3/8
Devin Townsend Project,Deathray,,"['Overdriven Guitar', 'Guitar 2']",Beginner,2/8
Intervals,Begin,,['Electric Guitar (clean)'],Beginner,1/8
Strapping Young Lad,Force Fed,Jed Simon,['Distortion Guitar'],Intermediate,3/8
Nazareth,Woke Up This Morning,,"['Distortion Guitar', 'Electric Guitar']",Intermediate,3/8
Peter Frampton,Somethins Happening,,['Distortion Guitar 4'],Beginner,2/8
Wings,Picassos Last Words,,['Acoustic Guitar (steel) 2'],Intermediate,3/8
Godsmack,I Fucking Hate You,Track 1,['Distortion Guitar'],Intermediate,3/8
Disturbed,Sickened,,"['Distortion Guitar', 'Lead Guitar']",Beginner,1/8
Cradle Of Filth,Babalon A.D. ,,['Distortion Guitar 2'],Intermediate,3/8
Devin Townsend,The Greys,Pista 5,['Overdriven Guitar'],Beginner,2/8
Ektomorf,Show Your Fist,,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Escape The Fate,Cellar Door,Monte Money,['Distortion Guitar'],Beginner,1/8
Heaven Shall Burn,Stay The Course,Raita 3,['Distortion Guitar'],Beginner,2/8
Linea 77,Liquid Subdual,,"['Distortion Guitar', 'Guitarra 2']",Intermediate,3/8
Soulfly,I And I,Gitarre 2,['Overdriven Guitar'],Intermediate,4/8
Strapping Young Lad,Imperial,Jed Simon,['Overdriven Guitar'],Intermediate,3/8
Union Square,Deceit,,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Zimmers Hole,Fista Corpse,,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Chimaira,The Venom Inside,Track 1,['Acoustic Guitar (nylon)'],Beginner,1/8
Devin Townsend,Coast,Track 1,['Acoustic Guitar (steel)'],Intermediate,4/8
Devin Townsend,Ki,Devin,['Acoustic Guitar (nylon)'],Intermediate,4/8
Devin Townsend,Olives,,"['Electric Guitar (jazz)', 'Guitar 1']",Beginner,2/8
Devin Townsend,Slow Me Down,,"['Overdriven Guitar', 'Guitar 1']",Intermediate,3/8
Devin Townsend,By Your Command,,"['Overdriven Guitar', 'Guitar 1']",Intermediate,5/8
Devin Townsend,Solar Winds,,"['Overdriven Guitar', 'Guitar 1']",Intermediate,3/8
Eluveitie,Lugdunon,,['Distortion Guitar 2'],Beginner,2/8
Haste The Day,My Name Is Darkness,Other,['Distortion Guitar'],Beginner,1/8
Aliases,We Never Should Have Met,Pin,['Acoustic Guitar (steel)'],Intermediate,3/8
Strapping Young Lad,Oh My Fucking God,,"['Distortion Guitar', 'Guitar: Devin Townsend']",Intermediate,5/8
Threat Signal,Escape From Reality,Track 10,['Distortion Guitar'],Beginner,1/8
Devin Townsend,Hyperdrive,,"['Distortion Guitar', 'Guitar I']",Intermediate,3/8
Anterior,Seraph,Track 3,['Overdriven Guitar'],Beginner,2/8
Arkona,Ogame H E,,"['Distortion Guitar', 'Guitar']",Intermediate,3/8
Element Eighty,The Echo Song,Matt Woods,['Overdriven Guitar'],Beginner,2/8
Six Feet Under,Sick In The Head,Steve Swanson,['Distortion Guitar'],Intermediate,3/8
Darkest Hour,Broken Wings,,"['Acoustic Guitar (nylon)', 'Guitar I']",Intermediate,3/8
Devin Townsend Project,Failure,,"['Distortion Guitar', 'Lead Guitar #1']",Intermediate,3/8
E-Town Concrete,Time 2 Shine,Spur 1,['Distortion Guitar'],Beginner,2/8
Heroes Of The Storm,Chaunt,,['Distortion Guitar 2'],Intermediate,3/8
Heroes Of The Storm,Dragon Shire,,['Distortion Guitar'],Beginner,1/8
Heroes Of The Storm,High Action,,['Distortion Guitar 2'],Intermediate,3/8
Heroes Of The Storm,Victory,,['Distortion Guitar'],Intermediate,3/8
Heroes Of The Storm,Tomb Of The Spider Queen,,['Distortion Guitar'],Beginner,1/8
Heroes Of The Storm,Quirky Action,,['Distortion Guitar'],Intermediate,3/8
Heroes Of The Storm,Main Theme ,,"['Distortion Guitar', 'Rythm guitar']",Beginner,2/8
Devin Townsend Project,The Way Home!,Devin Townsend,['Electric Guitar (jazz)'],Intermediate,3/8
Hms,Aloo,Track 5,['Distortion Guitar'],Intermediate,4/8
Wgrg,gwerg,Track 1,['Acoustic Guitar (steel)'],Intermediate,4/8
Ho,ts,,"['Distortion Guitar', 'Rythm guitar']",Intermediate,3/8
Devin Townsend Project,Stormbending,Lead,['Distortion Guitar'],Intermediate,3/8
Devin Townsend Project,Gato,GTR Overd,['Overdriven Guitar'],Intermediate,3/8
Devin Townsend Project,Bend It Like Bender! ,Solo Devin Townsend,['Distortion Guitar'],Intermediate,4/8
Robert Plant,All The Kings Horses,,"['Acoustic Guitar (steel)', 'Guitar 1(Skin Tyson)']",Beginner,2/8
Ewan Dodson,Techno Guitar 101,Track 1,['Acoustic Guitar (steel)'],Intermediate,3/8
Devin Townsend,Om,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
Devin Townsend,Hide Nowhere,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
John Fahey,Sunflower River Blues - 1963 Original Version,,"['Acoustic Guitar (steel)', 'Steel Guitar']",Intermediate,3/8
Kaden Waller,Obelisk ,,"['Acoustic Guitar (nylon)', 'Nylon Guitar']",Intermediate,4/8
Kaden Waller,Nämlés,,"['Acoustic Guitar (steel)', 'Steel Guitar']",Intermediate,3/8
Kaden Waller,Empty,,['Electric Guitar (clean)'],Intermediate,3/8
Strapping Young Lad,Underneath The Waves,Gtr. I,['Distortion Guitar'],Intermediate,4/8
Ewan Dobson,I Know Your Pain,Axe,['Acoustic Guitar (steel)'],Intermediate,5/8
Ewan Dobson,Time,Axe,['Acoustic Guitar (steel)'],Intermediate,5/8
Devin Townsend,Deep Peace,,"['Overdriven Guitar', 'Guitar 1']",Intermediate,3/8
Strapping Young Lad,Far Beyond Metal,Devin Townsend,['Distortion Guitar'],Intermediate,3/8
Strapping Young Lad,All Hail The New Flesh,Devin Townsend,['Distortion Guitar'],Intermediate,3/8
Strapping Young Lad,Relentless,Devin,['Distortion Guitar'],Intermediate,5/8
Strapping Young Lad,Aftermath,Devin,['Distortion Guitar'],Intermediate,3/8
Strapping Young Lad,Consequence,Jed Simon,['Distortion Guitar'],Intermediate,3/8
Strapping Young Lad,Zen,Pista 1,['Electric Guitar (clean)'],Intermediate,3/8
Devin Townsend Project,Fallout,HevyDev,['Distortion Guitar'],Beginner,2/8
Devin Townsend Project,Stars,,['Acoustic Guitar (steel)'],Beginner,1/8
Devin Townsend Project,Higher,Gtr2,['Distortion Guitar'],Intermediate,3/8
Devin Townsend,Christeen,,['Distortion Guitar'],Intermediate,3/8
"Shota Horie, Miho Karasawa",Sincerely ,Sincerely (Violet Evergarden),['Acoustic Guitar (steel)'],Beginner,2/8
Ewan,Time 2,Track 1,['Acoustic Guitar (steel)'],Beginner,2/8
Yo,Just a weird thin ,Pista 1,['Distortion Guitar'],Intermediate,3/8
Porcos De Abate,Errados,Nav,['Distortion Guitar'],Intermediate,3/8
Spieler,The Killer Traitor,,['Distortion Guitar 1'],Intermediate,3/8
Strapping Young Lad,In The Rainy Season,Pista 1,['Distortion Guitar'],Intermediate,5/8
Strapping Young Lad,Home Nucleonics,Dev,['Distortion Guitar'],Intermediate,4/8
Devin Townsend,Stagnant,,"['Distortion Guitar', 'Guitar']",Advanced,8/8
Strapping Young Lad,Dirt Pride,Pista 1,['Distortion Guitar'],Intermediate,5/8
Devin Townsend Project,Into The Sun,Dave,['Distortion Guitar'],Intermediate,3/8
Strapping Young Lad,We Ride,Jed,['Distortion Guitar'],Intermediate,4/8
Devin Townsend,Material,Pista 2,['Distortion Guitar'],Intermediate,3/8
Devin Townsend,Earth Day,Devin Townsend,['Distortion Guitar'],Intermediate,3/8
Clannad,Spring Wind,,"['Acoustic Guitar (nylon)', 'Nylon Guitar']",Beginner,2/8
Devin Townsend Project,Rejoice,Dave,['Distortion Guitar'],Intermediate,3/8
Social Distortion,Dear Lover,,"['Distortion Guitar', '2. Guitar']",Beginner,1/8
Viagz,Our Live,,"['Overdriven Guitar', 'Overd. Guitar']",Intermediate,3/8
Our Broken Souls,Fatal fantasy ,,"['Distortion Guitar', 'Electric Guitar 1']",Intermediate,3/8
Ft-17,L'armée Des Taupes,,"['Distortion Guitar', 'Solo Guitar']",Intermediate,4/8
Devin Townsend,Singularity,,"['Distortion Guitar', 'Main Distorted Guitar']",Intermediate,3/8
Saltwort,some death metal shittt riff1,,"['Distortion Guitar', 'Electric Guitar']",Intermediate,3/8
Unknown,superNicore,Gr 2,['Distortion Guitar'],Intermediate,4/8
D. Wolfe,Post Rock,Track 1,['Electric Guitar (jazz)'],Beginner,2/8
Ghost Atlas,Legs,Solo,['Acoustic Guitar (steel)'],Intermediate,3/8
Devin Townsend,Deadhead,Ambient/Lead 2,['Distortion Guitar'],Beginner,2/8
Eddie Van Der Meer,Sora ni Utaeba,,"['Acoustic Guitar (steel)', 'Steel Guitar']",Intermediate,3/8
Eddie Van Der Meer,Symphony,,"['Acoustic Guitar (steel)', 'Steel Guitar']",Beginner,2/8
Eddie Van Der Meer,Wolves,,"['Acoustic Guitar (steel)', 'Steel Guitar']",Beginner,2/8
Eddie Van Der Meer,Castle On The Hill,,"['Acoustic Guitar (steel)', 'Steel Guitar']",Intermediate,4/8
Eddie Van Der Meer,Your Reality,,"['Acoustic Guitar (steel)', 'Steel Guitar']",Intermediate,3/8
Eddie Van Der Meer,Perfect,,"['Acoustic Guitar (steel)', 'Steel Guitar']",Intermediate,4/8
Eddie Van Der Meer,Sincerely,,"['Acoustic Guitar (steel)', 'Steel Guitar']",Beginner,2/8
