Band,Song,Player,Technique,Difficulty,Score
Self Kill,Der Cursed Pig,,"['Electric Guitar (clean)', 'Clean Guitar']",Intermediate,4/8
Gorgoroth,Wound Upon Wound,,"['Distortion Guitar', 'Guitar 2']",Intermediate,5/8
Prototype,Seed - AriesBreath,,"['Electric Guitar (clean)', 'Clean Guitar']",Intermediate,4/8
Waldgeflüster,Im Ebersberger Forst,,['Overdriven Guitar'],Intermediate,3/8
Snare,Mute Me ,Eddie L. (Distortion 2),['Distortion Guitar'],Intermediate,4/8
Morbid Angel,Rapture ,Trey Azagthoth 2,['Distortion Guitar'],Intermediate,4/8
Order Of Sin( Best Band In Universe),szybszy bill e-moll Drop d,rythm,['Distortion Guitar'],Beginner,2/8
Blank Signs,Heart Suicide,,"['Acoustic Guitar (steel)', 'Steel Guitar']",Beginner,2/8
Face Of Death Misc,Crawl,,"['Distortion Guitar', 'Rythym Guitar']",Intermediate,3/8
Carlos Varela,Una Palabra ,,"['Acoustic Guitar (nylon)', 'Nylon Guitar']",Beginner,2/8
Face Of Death,FUCKING MOSH,,"['Distortion Guitar', 'Rythym Guitar']",Beginner,2/8
Narthax,The Omen of Hell,,"['Distortion Guitar', 'Dist Lead Guitar']",Intermediate,4/8
Volbeat,Still Counting ,Lead,['Distortion Guitar'],Beginner,2/8
Purple Haze,riff84,Track 1,['Distortion Guitar'],Intermediate,4/8
Grand Belial's Key,The Bearded Hustlers,GN2,['Overdriven Guitar'],Intermediate,3/8
Andrew Wrangell,Rush E,,"['Acoustic Guitar (steel)', 'Steel Guitar']",Advanced,6/8
Nikoboi,What Song?,,['Distortion Guitar'],Intermediate,3/8
Biggaytest,biggay23,,['Distortion Guitar'],Advanced,6/8
Skull Devil,alt 3,,['Distortion Guitar'],Intermediate,4/8
Skull Devil,ro 1.1,,['Distortion Guitar'],Intermediate,5/8
D. Wolfe,New Idea Stone Wings 2,Blake,['Distortion Guitar'],Intermediate,3/8
Slipknot,Yen,Jim Root,['Distortion Guitar'],Beginner,2/8
Chelsea Grin,"Don't Ask, Don't Tell  [6-String]",,"['Distortion Guitar', 'Lead Guitar']",Beginner,2/8
Skalyvan,All to End,,"['Distortion Guitar', 'Lead Guitar']",Intermediate,3/8
Skalyvan,Agony,,"['Overdriven Guitar', 'Guitar Solo']",Intermediate,3/8
Skalyvan,Pursuer,,"['Overdriven Guitar', 'Lead Guitar']",Intermediate,3/8
Skalyvan,A Picture of Shit,,"['Overdriven Guitar', 'Lead Guitar']",Intermediate,3/8
Skalyvan,I Am True,,"['Overdriven Guitar', 'Guitar Solo']",Intermediate,4/8
Shawn Cochran,The Final Whisper,,"['Electric Guitar (clean)', 'Clean Guitar']",Beginner,2/8
Oimbo,boimbo3,Track 4,['Distortion Guitar'],Beginner,2/8
Oimbo,boimbo2,Track 3,['Distortion Guitar'],Intermediate,3/8
Shawn Cochran,Pitched Breakdown Idea,,"['Distortion Guitar', 'Rhythm Guitar']",Beginner,2/8
Zkam,crap,,['Distortion Guitar'],Intermediate,3/8
N365m4567n4m567n,m4 567m4576m475,Track 1,['Electric Guitar (clean) 1'],Advanced,8/8
M678m7685m6789,b46n5wn4567n5674,Track 1,['Electric Guitar (clean) 1'],Beginner,2/8
Btyujky Ukb,nr57n74557,Track 1,['Electric Guitar (clean) 2'],Beginner,2/8
Valhalladante,Cycles of Aurora,,['Steel Guitar'],Intermediate,4/8
Hb,.jhuoyi8,Track 1,['Distortion Guitar 2'],Intermediate,4/8
J7656j,345y35yh,Track 1,['Distortion Guitar 1'],Intermediate,4/8
4b32b2344b23,b2345b2345b2345,Track 1,['Distortion Guitar 1'],Intermediate,4/8
Pesho,Proba2,Track 1,['Distortion Guitar 1'],Intermediate,4/8
Orbit Culture,Wargblod,Clean Lead 1,['Electric Guitar (clean)'],Beginner,2/8
Get Scared,Hate,Johnny B.,['Distortion Guitar'],Beginner,2/8
Decharot,Chonk,Track 1,['Distortion Guitar'],Intermediate,4/8
Bautek,Out for blood,Batreq,['Distortion Guitar'],Intermediate,4/8
Proba Pesho,1,Track 1,['Distortion Guitar 2'],Intermediate,4/8
Solarstate,A,,"['Overdriven Guitar', 'Guitar 2']",Intermediate,3/8
Madlu,Song 30,,['Distortion Guitar 1'],Intermediate,4/8
Chelsea Grin,"Don't Ask, Don't Tell ",,"['Distortion Guitar', 'Lead Guitar']",Intermediate,4/8
Rammstein,Sonne ,Richard Kruspe (L/R),['Distortion Guitar'],Beginner,2/8
Slipknot,Psychosocial ,Jim Root,['Distortion Guitar'],Beginner,2/8
Snatch Club,Exhibition,,"['Distortion Guitar', 'Guitar Right']",Intermediate,3/8
Extermination Dismemberment,Disemboweled Engorgement,,"['Distortion Guitar', 'Guitar Left']",Intermediate,3/8
Abominable Putridity,Entrails Full of Vermin,,"['Distortion Guitar', 'Guitar Right']",Intermediate,3/8
I Prevail,Hurricane ,Steve Menoian,['Distortion Guitar'],Intermediate,4/8
I Prevail,Hurricane ,Steve Menoian,['Distortion Guitar'],Beginner,2/8
Slaughter To Prevail,Baba Yaga  [6-String],Dimitri Mamedov,['Distortion Guitar'],Beginner,2/8
Successor,Gods are blind,,['Distortion Guitar 2'],Intermediate,4/8
Ewaw3333,Flesh ,,['Distortion Guitar 1'],Beginner,2/8
Ewaw3333,Paracyte,,['Distortion Guitar 2'],Beginner,2/8
Solo1,jim2,James Root #4,['Distortion Guitar'],Intermediate,5/8
Solo1,Mick,Mick Thomson #7,['Distortion Guitar'],Advanced,8/8
Solo1,jim,James Root #4,['Distortion Guitar'],Intermediate,4/8
Bkmz,dawnito,,['Distortion Guitar 2'],Beginner,2/8
Rave The Reqviem,Riptide,,"['Distortion Guitar', 'Electric Guitar']",Beginner,2/8
Susi,kaban full,Track 2,['Overdriven Guitar'],Beginner,2/8
Ewaw3333,Velikobritania,,['Distortion Guitar'],Beginner,2/8
Ewaw3333,Sikosis,,"['Distortion Guitar', 'Electric Guitar']",Beginner,2/8
Bautek,Morose,Barteq,['Distortion Guitar'],Intermediate,3/8
Masaki,METAL,,['Distortion Guitar 1'],Intermediate,4/8
Pathaway,Duo Aromantico,,['Overdriven Guitar'],Intermediate,4/8
Gnuj Junajted,gnojowisko,Track 2,['Distortion Guitar'],Intermediate,3/8
12345678dropa,guitar,,['Distortion Guitar'],Intermediate,3/8
Medieval,Letters For You,,['Distortion Guitar'],Intermediate,3/8
Abtu,Destroying the Enemies of Ra,Track 9,['Distortion Guitar'],Advanced,8/8
Jinjer,I Speak Astronomy ,,"['Distortion Guitar', 'BackGuitar']",Intermediate,3/8
Glint,untitled,Track 1,['Distortion Guitar 1'],Intermediate,4/8
Slipknot,The Devil in I ,Jim Root (#4),['Electric Guitar (clean)'],Intermediate,3/8
Slipknot,Sarcastrophe ,Jim Root (#4),['Distortion Guitar'],Intermediate,4/8
Bautek,djent chuj,Bartek,['Distortion Guitar'],Intermediate,3/8
Bautek,Djent gowno,Jakub,['Distortion Guitar'],Intermediate,3/8
I Prevail,Lifelines,Dylan Bowman (Rhythm),['Distortion Guitar'],Beginner,2/8
